target_id	length	eff_length	est_counts	tpm
ChrUn.fgenesh.mRNA.1	321	134.214	156	4.58185
ChrUn.fgenesh.mRNA.10	2400	2213.21	41	0.0730254
ChrUn.fgenesh.mRNA.11	3456	3269.21	90.1539	0.108706
ChrUn.fgenesh.mRNA.12	5379	5192.21	4418.51	3.35457
ChrUn.fgenesh.mRNA.13	645	458.214	26.3316	0.226528
ChrUn.fgenesh.mRNA.14	447	260.214	33	0.499916
ChrUn.fgenesh.mRNA.15	5274	5087.21	162.709	0.12608
ChrUn.fgenesh.mRNA.16	4095	3908.21	194.638	0.196319
ChrUn.fgenesh.mRNA.17	558	371.214	161	1.70968
ChrUn.fgenesh.mRNA.18	354	167.214	0	0
ChrUn.fgenesh.mRNA.19	1608	1421.21	24.287	0.0673639
ChrUn.fgenesh.mRNA.2	1113	926.214	0	0
ChrUn.fgenesh.mRNA.20	1803	1616.21	33	0.0804875
ChrUn.fgenesh.mRNA.21	2181	1994.21	30.487	0.0602639
ChrUn.fgenesh.mRNA.22	540	353.214	0	0
ChrUn.fgenesh.mRNA.23	2592	2405.21	0	0
ChrUn.fgenesh.mRNA.24	1062	875.214	0	0
ChrUn.fgenesh.mRNA.25	441	254.214	0	0
ChrUn.fgenesh.mRNA.26	2763	2576.21	16	0.0244823
ChrUn.fgenesh.mRNA.27	3765	3578.21	29	0.0319481
ChrUn.fgenesh.mRNA.28	1491	1304.21	0	0
ChrUn.fgenesh.mRNA.29	2769	2582.21	0	0
ChrUn.fgenesh.mRNA.3	1455	1268.21	3	0.00932486
ChrUn.fgenesh.mRNA.30	1323	1136.21	129	0.447551
ChrUn.fgenesh.mRNA.31	5544	5357.21	288.416	0.212224
ChrUn.fgenesh.mRNA.32	1515	1328.21	5	0.0148394
ChrUn.fgenesh.mRNA.33	438	251.214	59	0.92581
ChrUn.fgenesh.mRNA.34	1080	893.214	5	0.0220662
ChrUn.fgenesh.mRNA.35	204	17.2138	0	0
ChrUn.fgenesh.mRNA.36	2337	2150.21	10	0.0183329
ChrUn.fgenesh.mRNA.37	780	593.214	2	0.0132902
ChrUn.fgenesh.mRNA.38	291	104.214	39	1.47521
ChrUn.fgenesh.mRNA.39	405	218.214	0	0
ChrUn.fgenesh.mRNA.4	840	653.214	6	0.0362084
ChrUn.fgenesh.mRNA.40	303	116.214	0	0
ChrUn.fgenesh.mRNA.41	279	92.2138	0	0
ChrUn.fgenesh.mRNA.42	2199	2012.21	157	0.307566
ChrUn.fgenesh.mRNA.43	1209	1022.21	25	0.0964077
ChrUn.fgenesh.mRNA.44	390	203.214	0	0
ChrUn.fgenesh.mRNA.45	1392	1205.21	70.0081	0.22898
ChrUn.fgenesh.mRNA.46	1497	1310.21	626.057	1.88359
ChrUn.fgenesh.mRNA.47	1116	929.214	244	1.03511
ChrUn.fgenesh.mRNA.48	888	701.214	74.6955	0.419911
ChrUn.fgenesh.mRNA.49	2007	1820.21	0	0
ChrUn.fgenesh.mRNA.5	1746	1559.21	10	0.0252818
ChrUn.fgenesh.mRNA.50	183	183	1	0.0215408
ChrUn.fgenesh.mRNA.51	5313	5126.21	254.006	0.195326
ChrUn.fgenesh.mRNA.52	3678	3491.21	10	0.0112911
ChrUn.fgenesh.mRNA.53	936	749.214	0	0
ChrUn.fgenesh.mRNA.54	324	137.214	0	0
ChrUn.fgenesh.mRNA.55	3339	3152.21	65.8379	0.0823329
ChrUn.fgenesh.mRNA.56	624	437.214	0	0
ChrUn.fgenesh.mRNA.57	2211	2024.21	0	0
ChrUn.fgenesh.mRNA.58	390	203.214	7	0.135787
ChrUn.fgenesh.mRNA.59	1758	1571.21	1	0.00250887
ChrUn.fgenesh.mRNA.6	804	617.214	0	0
ChrUn.fgenesh.mRNA.60	951	764.214	1	0.0051582
ChrUn.fgenesh.mRNA.61	126	126	0	0
ChrUn.fgenesh.mRNA.62	1149	962.214	2	0.00819354
ChrUn.fgenesh.mRNA.63	1752	1565.21	12	0.0302218
ChrUn.fgenesh.mRNA.64	531	344.214	0	0
ChrUn.fgenesh.mRNA.65	282	95.2138	0	0
ChrUn.fgenesh.mRNA.66	231	44.2138	0	0
ChrUn.fgenesh.mRNA.67	303	116.214	0	0
ChrUn.fgenesh.mRNA.68	177	177	227.5	5.06666
ChrUn.fgenesh.mRNA.69	897	710.214	0	0
ChrUn.fgenesh.mRNA.7	3003	2816.21	16.16	0.0226198
ChrUn.fgenesh.mRNA.70	1617	1430.21	0	0
ChrUn.fgenesh.mRNA.71	231	44.2138	0	0
ChrUn.fgenesh.mRNA.72	303	116.214	0	0
ChrUn.fgenesh.mRNA.73	177	177	227.5	5.06666
ChrUn.fgenesh.mRNA.74	897	710.214	0	0
ChrUn.fgenesh.mRNA.75	4635	4448.21	77.513	0.0686913
ChrUn.fgenesh.mRNA.76	2145	1958.21	4457	8.97214
ChrUn.fgenesh.mRNA.77	267	80.2138	0	0
ChrUn.fgenesh.mRNA.78	432	245.214	6	0.0964539
ChrUn.fgenesh.mRNA.79	720	533.214	0	0
ChrUn.fgenesh.mRNA.8	2316	2129.21	26	0.0481357
ChrUn.fgenesh.mRNA.80	5409	5222.21	35	0.0264196
ChrUn.fgenesh.mRNA.81	132	132	0	0
ChrUn.fgenesh.mRNA.82	1488	1301.21	28	0.0848248
ChrUn.fgenesh.mRNA.83	1761	1574.21	3138	7.85783
ChrUn.fgenesh.mRNA.84	432	245.214	3.06871	0.0493315
ChrUn.fgenesh.mRNA.85	3369	3182.21	5533	6.85401
ChrUn.fgenesh.mRNA.86	1401	1214.21	467.098	1.51644
ChrUn.fgenesh.mRNA.87	198	11.2138	0	0
ChrUn.fgenesh.mRNA.88	5379	5192.21	292.091	0.221758
ChrUn.fgenesh.mRNA.89	3474	3287.21	487.357	0.58443
ChrUn.fgenesh.mRNA.9	432	245.214	64	1.02884
ChrUn.fgenesh.mRNA.90	1038	851.214	0	0
ChrUn.fgenesh.mRNA.91	333	146.214	0	0
ChrUn.fgenesh.mRNA.92	648	461.214	158.952	1.35855
ChrUn.fgenesh.mRNA.93	510	323.214	0	0
ChrUn.fgenesh.mRNA.94	312	125.214	0	0
ChrUn.fgenesh.mRNA.95	2097	1910.21	0	0
ChrUn.fgenesh.mRNA.96	1017	830.214	4237	20.1179
LOC_Os10g01030.1	693	506.214	0	0
LOC_Os10g01044.1	1849	1662.21	2832	6.71614
LOC_Os10g01060.1	2777	2590.21	2252	3.42725
LOC_Os10g01070.1	327	140.214	6	0.168684
LOC_Os10g01080.1	1287	1100.21	39756.6	142.444
LOC_Os10g01100.1	2949	2762.21	1270	1.81242
LOC_Os10g01110.1	2015	1828.21	6000.82	12.9389
LOC_Os10g01134.1	1655	1468.21	24149	64.837
LOC_Os10g01150.1	174	174	0	0
LOC_Os10g01240.1	524	337.214	0	0
LOC_Os10g01250.1	258	71.2138	0	0
LOC_Os10g01290.1	1675	1488.21	1643	4.35197
LOC_Os10g01340.1	692	505.214	5	0.0390129
LOC_Os10g01380.1	1245	1058.21	1537.81	5.72851
LOC_Os10g01390.1	948	761.214	0	0
LOC_Os10g01400.1	303	116.214	0	0
LOC_Os10g01410.1	870	683.214	0	0
LOC_Os10g01420.1	267	80.2138	0	0
LOC_Os10g01430.1	489	302.214	0	0
LOC_Os10g01460.1	414	227.214	0	0
LOC_Os10g01470.1	1450	1263.21	5197	16.2177
LOC_Os10g01480.1	1735	1548.21	3464	8.81983
LOC_Os10g01490.1	207	20.2138	0	0
LOC_Os10g01500.1	174	174	0	0
LOC_Os10g01530.1	1200	1013.21	0	0
LOC_Os10g01540.1	1829	1642.21	670	1.60827
LOC_Os10g01560.1	2406	2219.21	7	0.012434
LOC_Os10g01570.1	1600	1413.21	9	0.0251043
LOC_Os10g01580.1	759	572.214	2	0.013778
LOC_Os10g01610.1	3893	3706.21	7742	8.23448
LOC_Os10g01620.1	189	2.2138	0	0
LOC_Os10g01640.1	1404	1217.21	0	0
LOC_Os10g01650.1	1607	1420.21	0	0
LOC_Os10g01660.1	1633	1446.21	11	0.0299829
LOC_Os10g01670.1	243	56.2138	2	0.140249
LOC_Os10g01680.1	1491	1304.21	12.0771	0.0365028
LOC_Os10g01690.1	1305	1118.21	8.37911	0.0295384
LOC_Os10g01700.1	744	557.214	0	0
LOC_Os10g01710.1	198	11.2138	1	0.351529
LOC_Os10g01720.1	1527	1340.21	2.62089	0.00770883
LOC_Os10g01730.1	567	380.214	0	0
LOC_Os10g01740.1	232	45.2138	0	0
LOC_Os10g01760.1	534	347.214	0	0
LOC_Os10g01800.1	1185	998.214	4	0.0157961
LOC_Os10g01810.1	153	153	0	0
LOC_Os10g01820.1	3974	3787.21	317	0.329954
LOC_Os10g01830.1	642	455.214	732	6.33883
LOC_Os10g01840.1	531	344.214	0	0
LOC_Os10g01844.1	661	474.214	9.02372	0.075011
LOC_Os10g01920.1	1530	1343.21	0	0
LOC_Os10g01930.1	1520	1333.21	0	0
LOC_Os10g02000.1	1143	956.214	0	0
LOC_Os10g02020.1	438	251.214	0	0
LOC_Os10g02040.2	1591	1404.21	20	0.0561449
LOC_Os10g02050.1	288	101.214	2	0.0778939
LOC_Os10g02070.1	1285	1098.21	80	0.287155
LOC_Os10g02080.1	1551	1364.21	3	0.00866866
LOC_Os10g02100.1	1965	1778.21	58	0.128575
LOC_Os10g02140.1	312	125.214	0	0
LOC_Os10g02210.1	1771	1584.21	5.03773	0.0125353
LOC_Os10g02220.4	2083	1896.21	579	1.20366
LOC_Os10g02230.1	708	521.214	3	0.0226892
LOC_Os10g02240.1	2189	2002.21	10295	20.2689
LOC_Os10g02250.1	2382	2195.21	45	0.080807
LOC_Os10g02260.1	2271	2084.21	1594	3.01481
LOC_Os10g02270.1	789	602.214	0	0
LOC_Os10g02276.1	954	767.214	2	0.0102761
LOC_Os10g02284.1	1542	1355.21	0	0
LOC_Os10g02300.3	902	715.214	1447	7.97528
LOC_Os10g02330.1	384	197.214	0	0
LOC_Os10g02340.1	1671	1484.21	510	1.35453
LOC_Os10g02350.1	2233	2046.21	613	1.18093
LOC_Os10g02360.1	2263	2076.21	4849	9.20648
LOC_Os10g02380.1	1234	1047.21	422	1.58851
LOC_Os10g02410.1	219	32.2138	0	0
LOC_Os10g02470.1	435	248.214	1	0.0158814
LOC_Os10g02480.1	1314	1127.21	2308	8.07129
LOC_Os10g02490.2	1794	1607.21	64.8583	0.159076
LOC_Os10g02500.1	3948	3761.21	34.1417	0.0357825
LOC_Os10g02509.1	1035	848.214	0	0
LOC_Os10g02584.3	1606	1419.21	6069	16.8571
LOC_Os10g02610.1	234	47.2138	0	0
LOC_Os10g02620.1	1525	1338.21	3.00052	0.00883863
LOC_Os10g02625.1	315	128.214	0	0
LOC_Os10g02640.1	813	626.214	11	0.0692442
LOC_Os10g02644.1	210	23.2138	1	0.169812
LOC_Os10g02650.1	2850	2663.21	198	0.293071
LOC_Os10g02670.1	1041	854.214	0	0
LOC_Os10g02680.1	270	83.2138	0	0
LOC_Os10g02690.1	957	770.214	0	0
LOC_Os10g02720.1	2371	2184.21	0	0
LOC_Os10g02750.1	1232	1045.21	5	0.0188572
LOC_Os10g02760.1	2365	2178.21	1860	3.36609
LOC_Os10g02770.1	1670	1483.21	1501	3.98924
LOC_Os10g02780.1	699	512.214	0	0
LOC_Os10g02800.1	732	545.214	0	0
LOC_Os10g02814.1	1676	1489.21	164	0.43411
LOC_Os10g02830.1	261	74.2138	4	0.212466
LOC_Os10g02840.1	1289	1102.21	113	0.404135
LOC_Os10g02870.1	246	59.2138	0	0
LOC_Os10g02880.1	1487	1300.21	1003	3.04088
LOC_Os10g02890.1	243	56.2138	3	0.210374
LOC_Os10g02900.1	390	203.214	0	0
LOC_Os10g02920.1	843	656.214	130	0.780929
LOC_Os10g02970.1	724	537.214	79	0.579687
LOC_Os10g02980.1	1804	1617.21	3523	8.58734
LOC_Os10g02990.1	1887	1700.21	783	1.8154
LOC_Os10g03050.1	1185	998.214	85	0.335667
LOC_Os10g03100.1	2532	2345.21	0	0
LOC_Os10g03210.1	891	704.214	11.6123	0.0650022
LOC_Os10g03230.1	648	461.214	97	0.829054
LOC_Os10g03260.1	399	212.214	0	0
LOC_Os10g03270.1	270	83.2138	0	0
LOC_Os10g03280.1	177	177	0	0
LOC_Os10g03290.1	366	179.214	0	0
LOC_Os10g03320.1	1510	1323.21	1694	5.04656
LOC_Os10g03360.1	1266	1079.21	0	0
LOC_Os10g03380.1	153	153	0	0
LOC_Os10g03390.1	1320	1133.21	0	0
LOC_Os10g03400.2	2001	1814.21	73	0.158616
LOC_Os10g03410.1	321	134.214	0	0
LOC_Os10g03420.1	1152	965.214	3	0.0122521
LOC_Os10g03430.1	510	323.214	0	0
LOC_Os10g03440.1	1383	1196.21	374	1.23247
LOC_Os10g03450.1	513	326.214	1	0.012084
LOC_Os10g03480.1	1022	835.214	0	0
LOC_Os10g03490.1	1224	1037.21	0	0
LOC_Os10g03500.1	495	308.214	0	0
LOC_Os10g03510.1	390	203.214	0	0
LOC_Os10g03520.1	561	374.214	0	0
LOC_Os10g03530.1	783	596.214	0	0
LOC_Os10g03540.1	800	613.214	736	4.73129
LOC_Os10g03550.1	1918	1731.21	21715	49.445
LOC_Os10g03560.1	888	701.214	0	0
LOC_Os10g03570.1	2373	2186.21	1	0.0018031
LOC_Os10g03590.1	207	20.2138	0	0
LOC_Os10g03600.1	1780	1593.21	5	0.0123711
