target_id	length	eff_length	est_counts	tpm
ChrUn.fgenesh.mRNA.1	321	115.785	0	0
ChrUn.fgenesh.mRNA.10	2400	2194.79	1	0.0131875
ChrUn.fgenesh.mRNA.11	3456	3250.79	6	0.0534218
ChrUn.fgenesh.mRNA.12	5379	5173.79	2	0.0111886
ChrUn.fgenesh.mRNA.13	645	439.785	0	0
ChrUn.fgenesh.mRNA.14	447	241.785	3	0.359126
ChrUn.fgenesh.mRNA.15	5274	5068.79	0	0
ChrUn.fgenesh.mRNA.16	4095	3889.79	5.16248	0.0384138
ChrUn.fgenesh.mRNA.17	558	352.785	0	0
ChrUn.fgenesh.mRNA.18	354	148.785	0	0
ChrUn.fgenesh.mRNA.19	1608	1402.79	1	0.0206331
ChrUn.fgenesh.mRNA.2	1113	907.785	0	0
ChrUn.fgenesh.mRNA.20	1803	1597.79	53.016	0.960382
ChrUn.fgenesh.mRNA.21	2181	1975.79	4.93773	0.0723341
ChrUn.fgenesh.mRNA.22	540	334.785	593	51.2677
ChrUn.fgenesh.mRNA.23	2592	2386.79	226	2.74063
ChrUn.fgenesh.mRNA.24	1062	856.785	8	0.270255
ChrUn.fgenesh.mRNA.25	441	235.785	0	0
ChrUn.fgenesh.mRNA.26	2763	2557.79	2	0.0226319
ChrUn.fgenesh.mRNA.27	3765	3559.79	1	0.00813077
ChrUn.fgenesh.mRNA.28	1491	1285.79	0	0
ChrUn.fgenesh.mRNA.29	2769	2563.79	1	0.0112895
ChrUn.fgenesh.mRNA.3	1455	1249.79	0	0
ChrUn.fgenesh.mRNA.30	1323	1117.79	0	0
ChrUn.fgenesh.mRNA.31	5544	5338.79	69	0.374078
ChrUn.fgenesh.mRNA.32	1515	1309.79	137	3.02744
ChrUn.fgenesh.mRNA.33	438	232.785	0	0
ChrUn.fgenesh.mRNA.34	1080	874.785	4	0.132347
ChrUn.fgenesh.mRNA.35	204	204	0	0
ChrUn.fgenesh.mRNA.36	2337	2131.79	0	0
ChrUn.fgenesh.mRNA.37	780	574.785	0	0
ChrUn.fgenesh.mRNA.38	291	85.7851	1	0.337399
ChrUn.fgenesh.mRNA.39	405	199.785	0	0
ChrUn.fgenesh.mRNA.4	840	634.785	0	0
ChrUn.fgenesh.mRNA.40	303	97.7851	0	0
ChrUn.fgenesh.mRNA.41	279	73.7851	0	0
