target_id	length	eff_length	est_counts	tpm
ChrUn.fgenesh.mRNA.1	321	125.768	2	0.62422
ChrUn.fgenesh.mRNA.10	2400	2204.77	17.8769	0.318278
ChrUn.fgenesh.mRNA.11	3456	3260.77	29.6376	0.35678
ChrUn.fgenesh.mRNA.12	5379	5183.77	0	0
ChrUn.fgenesh.mRNA.13	645	449.768	4	0.349099
ChrUn.fgenesh.mRNA.14	447	251.768	1	0.155911
ChrUn.fgenesh.mRNA.15	5274	5078.77	0	0
ChrUn.fgenesh.mRNA.16	4095	3899.77	9	0.0905901
ChrUn.fgenesh.mRNA.17	558	362.768	0	0
ChrUn.fgenesh.mRNA.18	354	158.768	25	6.18094
ChrUn.fgenesh.mRNA.19	1608	1412.77	1	0.0277847
ChrUn.fgenesh.mRNA.2	1113	917.768	2	0.085541
ChrUn.fgenesh.mRNA.20	1803	1607.77	51	1.24516
ChrUn.fgenesh.mRNA.21	2181	1985.77	2.84657	0.0562692
ChrUn.fgenesh.mRNA.22	540	344.768	0	0
ChrUn.fgenesh.mRNA.23	2592	2396.77	0	0
ChrUn.fgenesh.mRNA.24	1062	866.768	0	0
ChrUn.fgenesh.mRNA.25	441	245.768	0	0
ChrUn.fgenesh.mRNA.26	2763	2567.77	0	0
ChrUn.fgenesh.mRNA.27	3765	3569.77	18	0.197929
ChrUn.fgenesh.mRNA.28	1491	1295.77	0	0
ChrUn.fgenesh.mRNA.29	2769	2573.77	0	0
ChrUn.fgenesh.mRNA.3	1455	1259.77	4	0.124637
ChrUn.fgenesh.mRNA.30	1323	1127.77	0	0
ChrUn.fgenesh.mRNA.31	5544	5348.77	105	0.770571
ChrUn.fgenesh.mRNA.32	1515	1319.77	0	0
ChrUn.fgenesh.mRNA.33	438	242.768	0	0
ChrUn.fgenesh.mRNA.34	1080	884.768	2	0.0887315
ChrUn.fgenesh.mRNA.35	204	8.7677	0	0
ChrUn.fgenesh.mRNA.36	2337	2141.77	0	0
ChrUn.fgenesh.mRNA.37	780	584.768	2	0.134253
ChrUn.fgenesh.mRNA.38	291	95.7677	0	0
ChrUn.fgenesh.mRNA.39	405	209.768	0	0
ChrUn.fgenesh.mRNA.4	840	644.768	1	0.0608799
ChrUn.fgenesh.mRNA.40	303	107.768	1.5	0.546361
ChrUn.fgenesh.mRNA.41	279	83.7677	0	0
ChrUn.fgenesh.mRNA.42	2199	2003.77	7	0.137128
ChrUn.fgenesh.mRNA.43	1209	1013.77	2	0.0774406
ChrUn.fgenesh.mRNA.44	390	194.768	0	0
ChrUn.fgenesh.mRNA.45	1392	1196.77	16.2069	0.531577
ChrUn.fgenesh.mRNA.46	1497	1301.77	23.3483	0.704043
ChrUn.fgenesh.mRNA.47	1116	920.768	4	0.170525
ChrUn.fgenesh.mRNA.48	888	692.768	8.80188	0.498729
ChrUn.fgenesh.mRNA.49	2007	1811.77	0	0
ChrUn.fgenesh.mRNA.5	1746	1550.77	2	0.0506244
ChrUn.fgenesh.mRNA.50	183	183	8	1.71599
ChrUn.fgenesh.mRNA.51	5313	5117.77	76	0.582921
ChrUn.fgenesh.mRNA.52	3678	3482.77	8	0.0901659
ChrUn.fgenesh.mRNA.53	936	740.768	3	0.15897
ChrUn.fgenesh.mRNA.54	324	128.768	0	0
ChrUn.fgenesh.mRNA.55	3339	3143.77	15	0.187291
ChrUn.fgenesh.mRNA.56	624	428.768	0	0
ChrUn.fgenesh.mRNA.57	2211	2015.77	0	0
ChrUn.fgenesh.mRNA.58	390	194.768	0	0
ChrUn.fgenesh.mRNA.59	1758	1562.77	0	0
ChrUn.fgenesh.mRNA.6	804	608.768	0	0
ChrUn.fgenesh.mRNA.60	951	755.768	0	0
ChrUn.fgenesh.mRNA.61	126	126	0	0
ChrUn.fgenesh.mRNA.62	1149	953.768	0	0
ChrUn.fgenesh.mRNA.63	1752	1556.77	3	0.075644
ChrUn.fgenesh.mRNA.64	531	335.768	0	0
ChrUn.fgenesh.mRNA.65	282	86.7677	0	0
ChrUn.fgenesh.mRNA.66	231	35.7677	0	0
ChrUn.fgenesh.mRNA.67	303	107.768	0	0
ChrUn.fgenesh.mRNA.68	177	177	20.5	4.54629
ChrUn.fgenesh.mRNA.69	897	701.768	0	0
ChrUn.fgenesh.mRNA.7	3003	2807.77	0	0
ChrUn.fgenesh.mRNA.70	1617	1421.77	0	0
ChrUn.fgenesh.mRNA.71	231	35.7677	0	0
ChrUn.fgenesh.mRNA.72	303	107.768	0	0
ChrUn.fgenesh.mRNA.73	177	177	20.5	4.54629
ChrUn.fgenesh.mRNA.74	897	701.768	0	0
ChrUn.fgenesh.mRNA.75	4635	4439.77	1.15343	0.0101978
ChrUn.fgenesh.mRNA.76	2145	1949.77	440	8.85823
ChrUn.fgenesh.mRNA.77	267	71.7677	0	0
ChrUn.fgenesh.mRNA.78	432	236.768	0	0
ChrUn.fgenesh.mRNA.79	720	524.768	0	0
ChrUn.fgenesh.mRNA.8	2316	2120.77	10	0.18509
ChrUn.fgenesh.mRNA.80	5409	5213.77	4	0.0301152
ChrUn.fgenesh.mRNA.81	132	132	0	0
ChrUn.fgenesh.mRNA.82	1488	1292.77	1	0.0303638
ChrUn.fgenesh.mRNA.83	1761	1565.77	284	7.1198
ChrUn.fgenesh.mRNA.84	432	236.768	0	0
ChrUn.fgenesh.mRNA.85	3369	3173.77	800	9.89445
ChrUn.fgenesh.mRNA.86	1401	1205.77	9	0.292992
ChrUn.fgenesh.mRNA.87	198	2.7677	0	0
ChrUn.fgenesh.mRNA.88	5379	5183.77	18	0.136303
ChrUn.fgenesh.mRNA.89	3474	3278.77	25.1663	0.301291
ChrUn.fgenesh.mRNA.9	432	236.768	3	0.497366
ChrUn.fgenesh.mRNA.90	1038	842.768	0	0
ChrUn.fgenesh.mRNA.91	333	137.768	0	0
ChrUn.fgenesh.mRNA.92	648	452.768	0	0
ChrUn.fgenesh.mRNA.93	510	314.768	0	0
ChrUn.fgenesh.mRNA.94	312	116.768	0	0
ChrUn.fgenesh.mRNA.95	2097	1901.77	0	0
ChrUn.fgenesh.mRNA.96	1017	821.768	194	9.2668
LOC_Os10g01030.1	693	497.768	0	0
LOC_Os10g01044.1	1849	1653.77	125	2.96697
LOC_Os10g01060.1	2777	2581.77	361	5.48867
LOC_Os10g01070.1	327	131.768	0	0
LOC_Os10g01080.1	1287	1091.77	43	1.54602
LOC_Os10g01100.1	2949	2753.77	463	6.5998
LOC_Os10g01110.1	2015	1819.77	1030	22.2177
LOC_Os10g01134.1	1655	1459.77	392	10.5409
LOC_Os10g01150.1	174	174	0	0
LOC_Os10g01240.1	524	328.768	0	0
LOC_Os10g01250.1	258	62.7677	0	0
LOC_Os10g01290.1	1675	1479.77	167	4.42996
LOC_Os10g01340.1	692	496.768	0	0
LOC_Os10g01380.1	1245	1049.77	201.967	7.55202
LOC_Os10g01390.1	948	752.768	0	0
LOC_Os10g01400.1	303	107.768	0	0
LOC_Os10g01410.1	870	674.768	0	0
LOC_Os10g01420.1	267	71.7677	0	0
LOC_Os10g01430.1	489	293.768	0	0
LOC_Os10g01460.1	414	218.768	0	0
LOC_Os10g01470.1	1450	1254.77	149	4.66122
LOC_Os10g01480.1	1735	1539.77	114	2.90621
LOC_Os10g01490.1	207	11.7677	0	0
LOC_Os10g01500.1	174	174	1	0.225594
LOC_Os10g01530.1	1200	1004.77	0	0
LOC_Os10g01540.1	1829	1633.77	34	0.816894
LOC_Os10g01560.1	2406	2210.77	1	0.0177555
LOC_Os10g01570.1	1600	1404.77	42	1.1736
LOC_Os10g01580.1	759	563.768	0	0
LOC_Os10g01610.1	3893	3697.77	987	10.4774
LOC_Os10g01620.1	189	189	0	0
LOC_Os10g01640.1	1404	1208.77	163	5.29324
LOC_Os10g01650.1	1607	1411.77	0	0
LOC_Os10g01660.1	1633	1437.77	0	0
LOC_Os10g01670.1	243	47.7677	0	0
LOC_Os10g01680.1	1491	1295.77	0	0
LOC_Os10g01690.1	1305	1109.77	0	0
LOC_Os10g01700.1	744	548.768	0	0
LOC_Os10g01710.1	198	2.7677	0	0
LOC_Os10g01720.1	1527	1331.77	0	0
LOC_Os10g01730.1	567	371.768	0	0
LOC_Os10g01740.1	232	36.7677	0	0
LOC_Os10g01760.1	534	338.768	2	0.231742
LOC_Os10g01800.1	1185	989.768	0	0
LOC_Os10g01810.1	153	153	0	0
LOC_Os10g01820.1	3974	3778.77	82	0.851806
LOC_Os10g01830.1	642	446.768	18	1.58149
LOC_Os10g01840.1	531	335.768	0	0
LOC_Os10g01844.1	661	465.768	9	0.75849
LOC_Os10g01920.1	1530	1334.77	2	0.0588168
LOC_Os10g01930.1	1520	1324.77	1	0.0296304
LOC_Os10g02000.1	1143	947.768	0	0
LOC_Os10g02020.1	438	242.768	0	0
LOC_Os10g02040.2	1591	1395.77	176	4.94967
LOC_Os10g02050.1	288	92.7677	0	0
LOC_Os10g02070.1	1285	1089.77	7774	280.019
LOC_Os10g02080.1	1551	1355.77	17	0.492199
LOC_Os10g02100.1	1965	1769.77	3	0.0665399
LOC_Os10g02140.1	312	116.768	0	0
LOC_Os10g02210.1	1771	1575.77	2	0.0498213
LOC_Os10g02220.4	2083	1887.77	6	0.124761
LOC_Os10g02230.1	708	512.768	1	0.076552
LOC_Os10g02240.1	2189	1993.77	143	2.81539
LOC_Os10g02250.1	2382	2186.77	3	0.0538512
LOC_Os10g02260.1	2271	2075.77	21	0.397116
LOC_Os10g02270.1	789	593.768	0	0
LOC_Os10g02276.1	954	758.768	4	0.206932
LOC_Os10g02284.1	1542	1346.77	20	0.582927
LOC_Os10g02300.3	902	706.768	223	12.3853
LOC_Os10g02330.1	384	188.768	0	0
LOC_Os10g02340.1	1671	1475.77	5	0.132993
LOC_Os10g02350.1	2233	2037.77	309	5.95224
LOC_Os10g02360.1	2263	2067.77	488	9.26393
LOC_Os10g02380.1	1234	1038.77	58	2.19173
LOC_Os10g02410.1	219	23.7677	0	0
LOC_Os10g02470.1	435	239.768	0	0
LOC_Os10g02480.1	1314	1118.77	67	2.35078
LOC_Os10g02490.2	1794	1598.77	12.847	0.315422
LOC_Os10g02500.1	3948	3752.77	35.153	0.367695
LOC_Os10g02509.1	1035	839.768	37.8736	1.77033
LOC_Os10g02584.3	1606	1410.77	200.126	5.56834
LOC_Os10g02610.1	234	38.7677	4	4.05011
LOC_Os10g02620.1	1525	1329.77	0	0
LOC_Os10g02625.1	315	119.768	0	0
LOC_Os10g02640.1	813	617.768	0	0
LOC_Os10g02644.1	210	14.7677	0	0
LOC_Os10g02650.1	2850	2654.77	42	0.621012
LOC_Os10g02670.1	1041	845.768	0	0
LOC_Os10g02680.1	270	74.7677	0	0
LOC_Os10g02690.1	957	761.768	0	0
LOC_Os10g02720.1	2371	2175.77	0	0
LOC_Os10g02750.1	1232	1036.77	3	0.113584
LOC_Os10g02760.1	2365	2169.77	224	4.05239
LOC_Os10g02770.1	1670	1474.77	8	0.212933
LOC_Os10g02780.1	699	503.768	0	0
LOC_Os10g02800.1	732	536.768	0	0
LOC_Os10g02814.1	1676	1480.77	7	0.185562
LOC_Os10g02830.1	261	65.7677	0	0
LOC_Os10g02840.1	1289	1093.77	24	0.861317
LOC_Os10g02870.1	246	50.7677	0	0
LOC_Os10g02880.1	1487	1291.77	0	0
LOC_Os10g02890.1	243	47.7677	0	0
LOC_Os10g02900.1	390	194.768	0	0
LOC_Os10g02920.1	843	647.768	2	0.121196
LOC_Os10g02970.1	724	528.768	11	0.816591
LOC_Os10g02980.1	1804	1608.77	227	5.53872
LOC_Os10g02990.1	1887	1691.77	0	0
LOC_Os10g03050.1	1185	989.768	0	0
LOC_Os10g03100.1	2532	2336.77	17	0.285569
LOC_Os10g03210.1	891	695.768	0	0
LOC_Os10g03230.1	648	452.768	0	0
LOC_Os10g03260.1	399	203.768	0	0
LOC_Os10g03270.1	270	74.7677	0	0
LOC_Os10g03280.1	177	177	0	0
LOC_Os10g03290.1	366	170.768	0	0
LOC_Os10g03320.1	1510	1314.77	26	0.776249
LOC_Os10g03360.1	1266	1070.77	0	0
LOC_Os10g03380.1	153	153	0	0
LOC_Os10g03390.1	1320	1124.77	1	0.0348991
LOC_Os10g03400.2	2001	1805.77	328	7.12999
LOC_Os10g03410.1	321	125.768	2	0.62422
LOC_Os10g03420.1	1152	956.768	0	0
LOC_Os10g03430.1	510	314.768	0	0
LOC_Os10g03440.1	1383	1187.77	196	6.47741
LOC_Os10g03450.1	513	317.768	2	0.247057
LOC_Os10g03480.1	1022	826.768	0	0
LOC_Os10g03490.1	1224	1028.77	0	0
LOC_Os10g03500.1	495	299.768	0	0
LOC_Os10g03510.1	390	194.768	0	0
LOC_Os10g03520.1	561	365.768	0	0
LOC_Os10g03530.1	783	587.768	0	0
LOC_Os10g03540.1	800	604.768	108	7.00991
LOC_Os10g03550.1	1918	1722.77	623	14.1951
LOC_Os10g03560.1	888	692.768	0	0
LOC_Os10g03570.1	2373	2177.77	275	4.95676
LOC_Os10g03590.1	207	11.7677	0	0
LOC_Os10g03600.1	1780	1584.77	12	0.29723
LOC_Os10g03610.1	762	566.768	1	0.0692583
LOC_Os10g03620.1	1686	1490.77	144	3.79166
LOC_Os10g03640.1	540	344.768	79	8.99451
LOC_Os10g03660.1	3427	3231.77	14	0.170045
LOC_Os10g03669.2	1910	1714.77	4	0.0915655
LOC_Os10g03690.1	1874	1678.77	117	2.73572
LOC_Os10g03710.1	450	254.768	0	0
LOC_Os10g03720.1	462	266.768	0	0
LOC_Os10g03730.1	1820	1624.77	3	0.0724781
LOC_Os10g03740.2	1676	1480.77	0	0
LOC_Os10g03750.1	1886	1690.77	7	0.162514
LOC_Os10g03760.1	1646	1450.77	20	0.541139
LOC_Os10g03770.1	399	203.768	0	0
LOC_Os10g03780.1	3148	2952.77	33.077	0.439718
LOC_Os10g03800.1	561	365.768	0	0
LOC_Os10g03820.1	822	626.768	0	0
LOC_Os10g03830.1	2846	2650.77	355.923	5.27062
LOC_Os10g03840.1	408	212.768	0	0
LOC_Os10g03850.1	1875	1679.77	9	0.210315
LOC_Os10g03855.1	474	278.768	0	0
LOC_Os10g03880.1	876	680.768	0	0
LOC_Os10g03890.1	477	281.768	7	0.975178
LOC_Os10g03900.1	717	521.768	6	0.451389
LOC_Os10g03910.1	1843	1647.77	24	0.571732
LOC_Os10g03920.1	654	458.768	0	0
LOC_Os10g03930.1	1803	1607.77	56	1.36723
LOC_Os10g03950.1	876	680.768	0	0
LOC_Os10g03960.1	390	194.768	4	0.806158
LOC_Os10g04000.1	1581	1385.77	0	0
LOC_Os10g04010.1	1578	1382.77	0	0
LOC_Os10g04020.1	1224	1028.77	30	1.14467
LOC_Os10g04030.1	1095	899.768	0	0
LOC_Os10g04060.1	3825	3629.77	272	2.94149
LOC_Os10g04090.1	3875	3679.77	24	0.256016
LOC_Os10g04110.1	2919	2723.77	68	0.979977
LOC_Os10g04120.1	3969	3773.77	30	0.312049
LOC_Os10g04160.1	1086	890.768	0	0
LOC_Os10g04180.1	3607	3411.77	0	0
LOC_Os10g04210.1	732	536.768	0	0
LOC_Os10g04260.1	603	407.768	0	0
LOC_Os10g04270.1	432	236.768	0	0
LOC_Os10g04280.1	882	686.768	0	0
LOC_Os10g04342.1	3119	2923.77	158	2.12125
LOC_Os10g04370.1	1687	1491.77	13	0.342073
LOC_Os10g04380.1	1512	1316.77	0	0
LOC_Os10g04400.1	1011	815.768	2	0.0962366
LOC_Os10g04410.1	354	158.768	0	0
LOC_Os10g04429.1	1765	1569.77	1	0.0250058
LOC_Os10g04450.1	1298	1102.77	142	5.05454
LOC_Os10g04460.1	165	165	0	0
LOC_Os10g04470.1	1401	1205.77	0	0
LOC_Os10g04480.1	1059	863.768	2	0.0908887
LOC_Os10g04490.1	1461	1265.77	21	0.651242
LOC_Os10g04500.1	177	177	0	0
LOC_Os10g04510.1	1059	863.768	16	0.72711
LOC_Os10g04520.1	750	554.768	35	2.47647
LOC_Os10g04540.1	1452	1256.77	51	1.59291
LOC_Os10g04550.1	702	506.768	0	0
LOC_Os10g04560.1	978	782.768	0	0
LOC_Os10g04570.1	1443	1247.77	295	9.28037
LOC_Os10g04580.1	1889	1693.77	110	2.54927
LOC_Os10g04590.1	2071	1875.77	110	2.30192
LOC_Os10g04600.2	1802	1606.77	75	1.83225
LOC_Os10g04610.1	2409	2213.77	41	0.726991
LOC_Os10g04620.1	1678	1482.77	260	6.88299
LOC_Os10g04625.1	582	386.768	5	0.507454
LOC_Os10g04630.1	414	218.768	8	1.43544
LOC_Os10g04660.1	1488	1292.77	1	0.0303638
LOC_Os10g04674.2	3381	3185.77	254	3.12966
LOC_Os10g04690.1	627	431.768	48	4.36383
LOC_Os10g04700.2	1724	1528.77	68	1.746
LOC_Os10g04710.1	519	323.768	0	0
LOC_Os10g04720.1	2007	1811.77	2	0.0433316
LOC_Os10g04730.1	2210	2014.77	3	0.0584485
LOC_Os10g04750.1	393	197.768	1	0.198482
LOC_Os10g04770.1	972	776.768	2	0.101069
LOC_Os10g04780.1	1134	938.768	24	1.00353
LOC_Os10g04800.1	156	156	163	41.0147
LOC_Os10g04840.1	618	422.768	3	0.278546
LOC_Os10g04850.1	2187	1991.77	0	0
LOC_Os10g04860.1	5146	4950.77	74	0.586727
LOC_Os10g04870.1	246	50.7677	0	0
LOC_Os10g04880.1	333	137.768	0	0
LOC_Os10g04890.1	1775	1579.77	0	0
LOC_Os10g04900.1	1745	1549.77	0	0
LOC_Os10g04910.1	795	599.768	5	0.327238
LOC_Os10g04930.1	447	251.768	0	0
LOC_Os10g04940.1	567	371.768	0	0
LOC_Os10g04950.1	444	248.768	0	0
LOC_Os10g04960.1	366	170.768	0	0
LOC_Os10g04980.1	1585	1389.77	0	0
LOC_Os10g04990.1	615	419.768	0	0
LOC_Os10g05000.1	850	654.768	4	0.2398
LOC_Os10g05010.1	1610	1414.77	9	0.249709
LOC_Os10g05020.1	1856	1660.77	143	3.3799
LOC_Os10g05030.1	483	287.768	0	0
LOC_Os10g05050.1	795	599.768	0	0
LOC_Os10g05069.1	3456	3260.77	1795	21.6083
LOC_Os10g05088.1	1299	1103.77	0	0
LOC_Os10g05130.1	1384	1188.77	74	2.4435
LOC_Os10g05140.1	207	11.7677	0	0
LOC_Os10g05150.1	216	20.7677	0	0
LOC_Os10g05160.1	1968	1772.77	5	0.110712
LOC_Os10g05170.1	483	287.768	2	0.272813
LOC_Os10g05180.1	1653	1457.77	3	0.0807811
LOC_Os10g05200.1	1513	1317.77	0	0
LOC_Os10g05210.1	1684	1488.77	104	2.7421
LOC_Os10g05220.2	1712	1516.77	115	2.97616
LOC_Os10g05230.2	1428	1232.77	436.234	13.8904
LOC_Os10g05240.1	1485	1289.77	33	1.00434
LOC_Os10g05250.1	2427	2231.77	85	1.49502
LOC_Os10g05290.2	1549	1353.77	0	0
LOC_Os10g05300.1	984	788.768	6.0727	0.30221
LOC_Os10g05329.1	384	188.768	0.5	0.103973
LOC_Os10g05390.1	432	236.768	0	0
LOC_Os10g05400.1	1953	1757.77	0	0
LOC_Os10g05410.1	1740	1544.77	6	0.152463
LOC_Os10g05420.1	444	248.768	0	0
LOC_Os10g05430.1	189	189	0	0
LOC_Os10g05440.1	1812	1616.77	0	0
LOC_Os10g05450.1	207	11.7677	0	0
LOC_Os10g05470.1	747	551.768	8	0.569129
